Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Точка бодрости,,Кофейни,"улица Советской Армии, 181/7",рядом с детской площадкой,443090,,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+04:00,4.5,7,,,,,,,,,,,,,,,,,53.229183,50.201124,https://2gis.com/firm/70000001029429561,branch
Вишня,кофейня,Кофейни,"Максима Горького, 107в",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.0,1,89276880839,,,,,,,,,,,,,,,,53.189353,50.082012,https://2gis.com/firm/70000001032193807,branch
Buffet,,Кофейни,"Красноармейская улица, 1 к1",2 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+04:00,5.0,1,,,,,,,,,,,,,,,,,53.194218,50.090487,https://2gis.com/firm/70000001051315119,branch
Кофейня,,Кофейни,"Заводское шоссе, 11",1 этаж,443022,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+04:00,5.0,2,,,,,,,,,,,,,,,,,53.200274,50.261015,https://2gis.com/firm/70000001029193800,branch
Vintage coffee ,кофейня,Кофейни,"проспект Кирова, 147",4 этаж,443077,Безымянка м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,2.7,3,89277666553,,,,,,,,,https://wa.me/79277666553,,,,,,,53.220576,50.261968,https://2gis.com/firm/70000001082426124,branch
Вали Вонко,,Кофейни; Кондитерские изделия,"улица Ново-Садовая, 30Б",Супермен,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,,,89093429775,,,,,,,,,,,,,,,,53.212842,50.136253,https://2gis.com/firm/70000001094240865,branch
Sova,семейное кафе-кондитерская,Кофейни,"улица Лесная, 23 к2",1 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+04:00,1.2,8,89270222474,89950980094,,,,,,,https://vk.com/sova_misscake,https://wa.me/79270222474,,,,,,,53.212908,50.124402,https://2gis.com/firm/70000001079701075,branch
Bonfix,кофейня,Кофейни,"улица Ленинская, 168",1 этаж,443041,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+04:00,4.0,12,,,,,,,,,,,,,,,,,53.195113,50.111601,https://2gis.com/firm/70000001038567254,branch
Apache coffee,кофейня,Кофейни; Продажа кофе,"улица Лесная, 23 к2",,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-22:00,+04:00,,,,,,,,,,,,,,,,,,,53.212908,50.124402,https://2gis.com/firm/70000001069243391,branch
Brooklyn,кофейня самообслуживания,Кофейные автоматы,"проспект Степана Разина, 36а",1 этаж,445037,3а квартал м-н,Автозаводский район,Тольятти,Тольятти городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,4.3,3,89874536771,89198184197,,,,,,,,https://wa.me/79198184197,https://wa.me/79874536771,viber://chat/?number=79198184197,viber://chat/?number=79874536771,https://t.me/+79198184197,https://t.me/+79874536771,,53.516328,49.293396,https://2gis.com/firm/70000001054113982,branch
Seven,кофейня-ресторан,Рестораны; Доставка еды,"Молодогвардейская улица, 135",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,3.8,103,88462016877,,,,,,,,,,,,,,,,53.199814,50.10621,https://2gis.com/firm/70000001037796770,branch
Wave Volga,кофейня,Кофейни,"Комзина, 1а",,445003,Портовый м-н,Центральный район,Тольятти,Тольятти городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-23:00,+04:00,4.7,12,89277177743,,,,,,,,https://vk.com/wave.volga,,,,,,,,53.476063,49.349394,https://2gis.com/firm/70000001092454114,branch
Улитка,автокафе,Кофейни,"Комзина, 1/1 киоск",,445003,Портовый м-н,Центральный район,Тольятти,Тольятти городской округ,Самарская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+04:00,4.0,46,,,,,,,,,https://vk.com/ulitka_coffee,,,,,,,,53.475754,49.348671,https://2gis.com/firm/70000001033970029,branch
Лакруа,,Кофейни; Кондитерские изделия,"Революционная улица, 53 НП 1001",1 этаж,445057,,Автозаводский район,Тольятти,Тольятти городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.6,18,89170349030,,,,,,,,,https://wa.me/79170349030,,viber://chat/?number=79170349030,,https://t.me/+79170349030,,,53.50047,49.270251,https://2gis.com/firm/70000001075107474,branch
